0,1964598726,Fri May 29 14:29:42 PDT 2009,NO_QUERY,muzcats,#iusedtobescaredof the girls in the year above me at school 
4,2185759561,Mon Jun 15 17:51:47 PDT 2009,NO_QUERY,xfailingsdaniel,ooh I'm so excited for tomorrow 1.iPhone update  &amp; 2.iPhone 3g 3.0 demo of the jailbrake software 
4,2066409517,Sun Jun 07 10:28:01 PDT 2009,NO_QUERY,xoxnaquel,"@LizJonasHQ dude July 6th, it is so on !  lol"
4,1833356107,Sun May 17 23:02:04 PDT 2009,NO_QUERY,marketingtomind,via @xlnation: Thanks for following. What's your most inspiring quote? Send it and I'll retweet. Ours: &quot;There is already enough.&quot; 
0,2055468113,Sat Jun 06 09:22:18 PDT 2009,NO_QUERY,NathalieCaron,@InEveryWordISay Some are but the portions are so small. I'm always hungry. 
0,1998817691,Mon Jun 01 19:10:24 PDT 2009,NO_QUERY,SadSmilesHurt13,@MsShinyPants haha where did yuu run into her at and most ppl are &quot;courtneys&quot; *spits and washes mouth out wiff soap* exspecially in VA  !!
0,1679341120,Sat May 02 09:07:15 PDT 2009,NO_QUERY,lightrailblog,@michichan I didn't see the rollergirls  I love them! I met them up at the facility up on the 51
4,2190114118,Tue Jun 16 01:48:28 PDT 2009,NO_QUERY,daryld,@itsLissa send it tomorrow for sure  night dorko.
0,1557977633,Sun Apr 19 06:48:30 PDT 2009,NO_QUERY,StockingsAddict,"I've done something to hurt my finger, and the pain woke me up.  "
0,2205465535,Wed Jun 17 04:47:59 PDT 2009,NO_QUERY,CameronPrescott,Field Day at my grandmas school...yey... 
0,2049216899,Fri Jun 05 16:29:58 PDT 2009,NO_QUERY,clynn20,watchin tori and dean &amp; wishiiiiing I had my puppies 
4,2013705881,Tue Jun 02 23:21:21 PDT 2009,NO_QUERY,aimclear,@mattcutts   Making great content is something we could all do better. I know that is true.
4,1971705900,Sat May 30 07:42:56 PDT 2009,NO_QUERY,Riaz_Ahmed_,"@ladyarse funny that we were just discussing webb used to be a cop, what a coincidence lol "
4,2180046158,Mon Jun 15 09:56:19 PDT 2009,NO_QUERY,riceowlett,@CRISCOKIDD i just might jack your style on your twitter replies lol 
4,1971232311,Sat May 30 06:34:48 PDT 2009,NO_QUERY,creativitae,vol. 25 is creativitae's blog of the week  http://bit.ly/q07SR
0,1753650954,Sun May 10 02:43:10 PDT 2009,NO_QUERY,Lindseymw,Just got pulled over on 36. I am fucking terrified of cops. My headlights out I guess  mew.
4,1468756159,Tue Apr 07 03:33:50 PDT 2009,NO_QUERY,wesley77,looking4 people 
4,2059848079,Sat Jun 06 17:45:28 PDT 2009,NO_QUERY,GaladKnits,@shannymac Not again!  I think Amy's Army needs a troll posse 
0,2197702001,Tue Jun 16 15:01:37 PDT 2009,NO_QUERY,brittaniheather,"Last day with this group  If nothing else, I taught Alfonso to say, &quot;Thank you, Mom, for my perfect nose&quot; with minimal prompting."
4,2007977555,Tue Jun 02 13:26:16 PDT 2009,NO_QUERY,CoverGirl_76,@DonnieWahlberg Get Ubertwitter 4 ur BB &amp; turn on the GPS WE WILL FIND YA BABY!!! 
4,1998897099,Mon Jun 01 19:18:13 PDT 2009,NO_QUERY,sandyrockx,HAPPY BDAY TO @JohnExp hope u had a great day 
0,2236621271,Fri Jun 19 04:09:13 PDT 2009,NO_QUERY,ghxststories,"@bunnylake baha It is my new favourite thing, perfectamondo pour le weather, I was hoping no one would notice "
4,2067181128,Sun Jun 07 11:53:41 PDT 2009,NO_QUERY,Right_Sed_Becky,TDK is even better the 5th time round lol 
0,1794350395,Thu May 14 05:36:19 PDT 2009,NO_QUERY,radha_,@bassyc I know!! the delay cost us dearly.. 
0,1881439894,Fri May 22 04:40:11 PDT 2009,NO_QUERY,katiefern,"sick of chest infection, sick of volunteers and sick of tidying. This is NOT what a Friday should be "
0,2044120625,Fri Jun 05 08:54:00 PDT 2009,NO_QUERY,HeroesROverWith,Have to submit my Shapiro blog 3 - how annoying.. that means I have to re-type it again. Stupid Blackboard. 
0,2266229461,Sun Jun 21 08:08:12 PDT 2009,NO_QUERY,HuSkySkatE,Will the movie Street Dreams become a worldwide show? Please make it global! I wanna watch it badly 
4,1827470902,Sun May 17 10:46:47 PDT 2009,NO_QUERY,michxxblc,"@DEW_me BAHAHAHA! Yes, it's posted on here. Go to ktsummer's page. She has a couple of good pictures. "
4,1880626055,Fri May 22 01:55:03 PDT 2009,NO_QUERY,GerardCMAC,@speeddiva AWWWH  how is everything going?
4,1557256657,Sun Apr 19 02:58:10 PDT 2009,NO_QUERY,CraniumBlue,@Jonasbrothers you were right...the song &quot;I only see you&quot; is AMAZING ! i'm listening  to it all the time 
0,2325761651,Thu Jun 25 06:01:19 PDT 2009,NO_QUERY,Tammypxp,getting ready to start the day...i slept on the floor last night  and my mom wasnt giving me much peace
0,1883546849,Fri May 22 08:43:27 PDT 2009,NO_QUERY,AdrianK09,@sector_ wow that sucks 
